teamID,teamGPA,teamPrefferedList,finishedCourses,projectID,requiredCourses
11,4.91,"39,19,35,24,53,14,16,58,51,32,66,69,17,5,74,49,1,57,42,67,52,30,36,71,44,68,73,40,18,37,25,34,48,22,62,8,28,70,3,46,21,43,7,61,13,60,47,63,65,31,20,15,26,33,11,56,4,10,50,6,27,72,54,29,23,12,9,75,55,2,41,45,59,38,64","0.25,1,0.75,0",11,"0,1,0,0"
71,4.9,"3,30,18,14,29,17,5,75,73,6,13,38,62,36,47,64,4,33,49,24,42,45,61,31,59,22,65,37,71,70,53,8,26,19,32,44,15,25,48,46,16,56,67,51,9,27,39,2,72,12,28,55,60,58,11,54,35,52,23,68,69,41,63,66,57,50,40,21,43,34,1,20,7,74,10","0.75,0,0,1",71,"0,0,1,1"
59,4.89,"56,19,15,68,6,65,33,2,4,44,12,48,53,41,45,40,36,49,71,74,14,30,54,10,52,75,17,60,11,1,57,55,62,72,3,43,61,70,63,47,73,20,67,29,9,34,46,22,51,7,23,42,38,27,26,5,59,16,66,32,50,25,69,24,8,37,64,28,58,35,39,18,13,21,31","0.75,0.75,0,1",59,"1,1,1,0"
17,4.86,"23,17,56,26,18,29,47,6,57,32,60,53,54,24,1,40,20,7,63,30,10,52,16,19,46,65,37,34,43,15,51,28,74,14,39,8,31,35,61,42,36,11,50,70,3,45,21,58,12,49,66,9,22,13,59,62,69,67,72,73,5,4,33,71,41,75,44,48,2,64,27,38,68,55,25","1,1,1,1",17,"1,1,0,0"
8,4.83,"57,47,74,50,37,6,49,14,15,54,21,72,13,67,43,26,35,61,60,30,65,25,46,70,44,31,55,27,18,28,40,10,45,63,66,20,48,17,71,22,11,16,42,1,69,59,7,38,58,52,68,34,19,53,29,51,9,24,39,32,73,2,36,75,62,5,33,41,56,64,8,3,4,23,12","0.25,0.75,0.25,0",8,"1,1,1,0"
69,4.76,"27,40,65,59,3,62,38,60,64,20,28,72,14,57,50,46,6,9,37,35,56,45,1,44,43,7,66,41,23,33,32,67,71,74,21,34,70,13,25,63,48,24,4,54,19,68,52,61,49,2,36,5,42,12,73,51,53,26,30,22,39,16,31,75,8,47,69,29,55,17,18,58,15,10,11","1,0,0.5,0.5",69,"0,1,1,1"
12,4.75,"42,10,40,50,74,11,29,54,19,47,72,3,22,18,12,16,15,69,53,73,7,34,20,46,68,57,28,60,75,31,9,4,27,33,39,70,36,43,45,13,61,63,48,67,71,41,21,55,14,2,8,1,64,56,44,66,35,17,6,37,25,51,52,32,58,59,23,38,30,49,62,26,5,65,24","1,0.5,0.75,1",12,"0,0,0,0"
33,4.63,"33,26,50,47,28,38,71,19,56,8,63,65,59,6,27,69,74,29,25,9,15,24,67,4,41,37,64,43,49,48,62,20,30,57,70,12,54,18,3,5,61,39,75,11,22,1,46,36,10,34,45,52,2,13,60,14,23,55,42,44,53,40,68,35,51,73,21,32,17,7,58,31,72,16,66","0.25,0,0.5,1",33,"0,0,0,1"
55,4.61,"4,12,60,22,70,25,62,11,46,1,72,36,50,59,56,14,47,34,73,65,2,17,39,66,38,69,29,24,10,64,52,42,41,23,16,20,57,54,26,19,9,18,28,61,6,7,71,13,31,53,45,63,49,43,15,30,58,74,5,67,27,21,68,37,44,3,51,40,35,33,48,75,32,55,8","1,0,1,0",55,"1,0,0,1"
54,4.58,"7,37,1,43,75,61,24,48,58,46,3,49,56,68,26,5,21,34,53,72,60,40,52,67,51,62,33,8,69,50,42,22,57,74,45,36,27,6,31,11,12,32,17,13,44,41,29,63,59,55,28,47,30,65,64,16,73,18,9,35,15,25,38,14,4,66,39,23,71,20,54,10,70,19,2","1,0.25,0.5,0.25",54,"1,0,0,0"
