teamID,teamGPA,teamPrefferedList,finishedCourses,projectID,requiredCourses
1,4.3,"12,5,15,8,14,9,4,3,1,13,7,2,11,10,6","0,0.5,1,0.25",1,"1,0,1,0"
2,2.59,"6,13,12,7,10,5,11,3,15,9,4,14,1,2,8","0,0.25,1,0",2,"0,0,1,0"
3,4.83,"5,2,14,9,3,12,1,8,6,11,15,13,4,7,10","0,0.5,1,0",3,"0,0,1,0"
4,4.38,"8,9,5,12,15,3,11,4,2,14,13,10,7,1,6","0.25,0,0,0.25",4,"1,1,0,1"
5,4.06,"2,6,3,10,14,4,1,11,8,13,5,7,12,9,15","0.75,0,1,0.25",5,"1,0,0,1"
6,4.17,"15,14,10,6,12,11,7,4,13,3,2,1,8,5,9","0.25,1,1,0.5",6,"0,1,0,0"
7,4.17,"15,14,10,6,12,11,7,4,13,3,2,1,8,5,9","0.25,0.25,1,0.25",7,"0,1,0,0"
8,4.88,"13,10,6,14,2,4,1,9,11,7,3,12,5,8,15","0.75,0.75,0.5,0.25",8,"0,1,0,1"
9,4.06,"12,14,10,5,3,2,1,9,6,15,4,8,11,13,7","0,0.25,0.5,1",9,"1,0,0,1"
10,2.62,"14,4,10,11,5,6,7,13,9,12,3,15,1,2,8","0,0.25,1,0.5",10,"1,0,0,1"
11,4.17,"13,10,11,15,4,5,2,12,9,6,8,7,1,14,3","0,0.75,0.25,0.5",11,"0,0,1,1"
12,4.06,"2,6,3,10,14,4,1,11,8,13,5,7,12,9,15","0.25,1,0.5,0",12,"0,1,0,0"
13,4.88,"13,10,6,14,2,4,1,9,11,7,3,12,5,8,15","0.5,0.5,0.25,0.25",13,"0,1,1,1"
14,4.17,"12,13,6,11,4,7,9,1,3,10,5,15,8,14,2","0.5,0,0.75,1",14,"1,0,0,0"
15,4.88,"13,10,6,14,2,4,1,9,11,7,3,12,5,8,15","0.75,0.5,1,0.75",15,"0,1,1,1"
